INSTNM,CITY,STABBR,REGION,LOCALE,RELAFFIL,ADM_RATE,UGDS,ACTCM25,ACTCM75,SATVR25,SATVR75,SATMT25,SATMT75,MENONLY,WOMENONLY,HBCU,ANNHI,TRIBAL,AANAPII,HSI,NANTI,CCSIZSET,NPT4_PUB,NPT4_PRIV,C150_4,C150_L4,,
Alaska Pacific University,Anchorage,AK,8,11,71,0.9065,298,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,0,0,1,7,NULL,20651,0.5556,NULL,,
Alaska Vocational Technical Center,Seward,AK,8,43,NULL,NULL,185,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,7578,NULL,NULL,0.9213,,
Charter College,Vancouver,WA,8,12,NULL,NULL,2120,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,NULL,24629,0.5169,NULL,,
Alaska Career College,Anchorage,AK,8,11,NULL,NULL,412,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,NULL,15191,NULL,0.7938,,
Empire Beauty School-Tucson,Tucson,AZ,6,11,NULL,NULL,114,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,15667,NULL,0.5789,,
Carrington College-Phoenix North,Phoenix,AZ,6,11,NULL,NULL,986,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,NULL,22500,NULL,0.6284,,
Carrington College-Mesa,Mesa,AZ,6,11,NULL,NULL,590,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,NULL,37809,NULL,0.6225,,
Carrington College-Tucson,Tucson,AZ,6,11,NULL,NULL,346,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,26891,NULL,0.5597,,
Arizona Academy of Beauty,Tucson,AZ,6,11,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,6637,NULL,0.6,,
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,6,21,NULL,NULL,368,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,32829,NULL,0.5617,,
Brookline College-Phoenix,Phoenix,AZ,6,11,NULL,NULL,1511,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,30747,0.5031,NULL,,
Arizona State University Campus Immersion,Tempe,AZ,6,12,NULL,0.8837,62633,21,28,550,650,550,670,0,0,0,0,0,0,0,0,16,13107,NULL,0.6601,NULL,,
Arizona Western College,Yuma,AZ,6,13,NULL,NULL,5859,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,3,10023,NULL,NULL,0.2396,,
University of Arizona,Tucson,AZ,6,11,NULL,0.8513,34659,21,29,550,660,540,690,0,0,0,0,0,0,1,0,15,13358,NULL,0.6489,NULL,,
Central Arizona College,Coolidge,AZ,6,41,NULL,NULL,3985,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,3,5804,NULL,NULL,0.1632,,
Charles of Italy Beauty College,Lake Havasu City,AZ,6,13,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,9851,NULL,0.6389,,
Cochise County Community College District,Sierra Vista,AZ,6,13,NULL,NULL,3135,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,3,6260,NULL,NULL,0.2873,,
Empire Beauty School-Chandler,Chandler,AZ,6,11,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,16032,NULL,0.5789,,
Avalon Institute-Mesa,Mesa,AZ,6,11,NULL,NULL,340,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,16397,NULL,0.6795,,
Eastern Arizona College,Thatcher,AZ,6,33,NULL,NULL,2627,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,8328,NULL,NULL,0.46,,
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,6,41,NULL,0.6685,2959,23,29,570,650,570,670,0,0,0,0,0,0,0,0,10,NULL,35432,0.5916,NULL,,
The School of Architecture,Paradise Valley,AZ,6,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,18,NULL,NULL,NULL,NULL,,
Glendale Community College,Glendale,AZ,6,21,NULL,NULL,11506,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,5,9605,NULL,NULL,0.144,,
Grand Canyon University,Phoenix,AZ,6,11,NULL,0.8069,62424,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,15,NULL,20585,0.4657,NULL,,
GateWay Community College,Phoenix,AZ,6,11,NULL,NULL,3875,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,3,10106,NULL,NULL,0.1955,,
Mesa Community College,Mesa,AZ,6,11,NULL,NULL,13485,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,5,10504,NULL,NULL,0.1804,,
Mohave Community College,Kingman,AZ,6,41,NULL,NULL,2410,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,2,7267,NULL,NULL,0.183,,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,6,11,NULL,NULL,789,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,19127,NULL,0.6468,,
Dine College,Tsaile,AZ,6,43,NULL,NULL,1260,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,1,0,0,0,9,10604,NULL,0.2021,NULL,,
Northern Arizona University,Flagstaff,AZ,6,13,NULL,0.8164,24880,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,16,14308,NULL,0.5687,NULL,,
Northland Pioneer College,Holbrook,AZ,6,41,NULL,NULL,1125,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,2,10471,NULL,NULL,0.0857,,
Ottawa University-Phoenix,Phoenix,AZ,6,11,52,NULL,387,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,6,NULL,NULL,NULL,NULL,,
Phoenix College,Phoenix,AZ,6,11,NULL,NULL,7655,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,4,9671,NULL,NULL,0.1498,,
Pima Community College,Tucson,AZ,6,11,NULL,NULL,13606,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,5,3846,NULL,NULL,0.178,,
Pima Medical Institute-Tucson,Tucson,AZ,6,11,NULL,NULL,1970,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,NULL,NULL,0.6609,NULL,,
